DEBUG (org.springframework.beans.factory.support.DefaultListableBeanFactory:478)- Finished creating instance of bean 'log4jInitialization'
DEBUG (org.springframework.context.support.ClassPathXmlApplicationContext:697)- Unable to locate LifecycleProcessor with name 'lifecycleProcessor': using default [org.springframework.context.support.DefaultLifecycleProcessor@25e0dee5]
DEBUG (org.springframework.beans.factory.support.DefaultListableBeanFactory:248)- Returning cached instance of singleton bean 'lifecycleProcessor'
DEBUG (org.springframework.core.env.PropertySourcesPropertyResolver:81)- Searching for key 'spring.liveBeansView.mbeanDomain' in [systemProperties]
DEBUG (org.springframework.core.env.PropertySourcesPropertyResolver:81)- Searching for key 'spring.liveBeansView.mbeanDomain' in [systemEnvironment]
DEBUG (org.springframework.core.env.PropertySourcesPropertyResolver:103)- Could not find key 'spring.liveBeansView.mbeanDomain' in any property source. Returning [null]
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 69
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 70
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 71
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 72
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 73
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 74
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 75
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 76
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 77
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 78
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 79
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 80
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 81
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 82
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 83
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 84
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 85
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 86
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 87
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 88
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 89
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 90
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 91
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 92
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 93
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 94
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 95
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 96
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 97
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 98
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 99
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 100
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 101
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 102
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 103
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 104
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 105
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 106
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 107
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 108
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 109
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 110
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 111
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 112
INFO (info.sugengbin.learn.log4j.TestLog4j:36)- this is log4j info log: 113
